COUNTY	CASES	DEATHS	RECOVERED
Tift-Georgia	11	0	0
Toombs-Georgia	1	0	0
Towns-Georgia	0	0	0
Treutlen-Georgia	0	0	0
Troup-Georgia	11	0	0
Turner-Georgia	2	0	0
Twiggs-Georgia	2	0	0
Union-Georgia	0	0	0
Upson-Georgia	2	0	0
Walker-Georgia	0	0	0
Walton-Georgia	0	0	0
Ware-Georgia	2	0	0
Warren-Georgia	0	0	0
Washington-Georgia	2	0	0
Wayne-Georgia	0	0	0
Webster-Georgia	0	0	0
Wheeler-Georgia	0	0	0
White-Georgia	1	0	0
Whitfield-Georgia	6	0	0
Wilcox-Georgia	0	0	0
Wilkes-Georgia	1	0	0
Wilkinson-Georgia	0	0	0
Worth-Georgia	7	0	0
Hawaii-Hawaii	5	0	0
Honolulu-Hawaii	76	0	0
Kauai-Hawaii	5	0	0
Maui-Hawaii	14	0	0
Ada-Idaho	54	0	0
Adams-Idaho	0	0	0
Bannock-Idaho	2	0	0
Bear Lake-Idaho	0	0	0
Benewah-Idaho	0	0	0
Bingham-Idaho	1	0	0
Blaine-Idaho	93	2	0
Boise-Idaho	0	0	0
Bonner-Idaho	0	0	0
Bonneville-Idaho	0	0	0
Boundary-Idaho	0	0	0
Butte-Idaho	0	0	0
Camas-Idaho	0	0	0
Canyon-Idaho	23	1	0
Caribou-Idaho	0	0	0
Cassia-Idaho	1	0	0
Clark-Idaho	0	0	0
Clearwater-Idaho	0	0	0
Custer-Idaho	1	0	0
Elmore-Idaho	0	0	0
Franklin-Idaho	0	0	0
Fremont-Idaho	1	0	0
Gem-Idaho	0	0	0
Gooding-Idaho	0	0	0
Idaho-Idaho	1	0	0
Jefferson-Idaho	2	0	0
Jerome-Idaho	0	0	0
Kootenai-Idaho	10	0	0
Latah-Idaho	0	0	0
Lemhi-Idaho	0	0	0
Lewis-Idaho	0	0	0
Lincoln-Idaho	0	0	0
Madison-Idaho	2	0	0
Minidoka-Idaho	0	0	0
Nez Perce-Idaho	4	0	0
Oneida-Idaho	0	0	0
Owyhee-Idaho	0	0	0
Payette-Idaho	4	0	0
Power-Idaho	0	0	0
Shoshone-Idaho	0	0	0
Teton-Idaho	2	0	0
Twin Falls-Idaho	3	0	0
Valley-Idaho	1	0	0
Washington-Idaho	0	0	0
Adams-Illinois	1	0	0
Alexander-Illinois	0	0	0
Bond-Illinois	0	0	0
Boone-Illinois	0	0	0
Brown-Illinois	0	0	0
Bureau-Illinois	1	0	0
Calhoun-Illinois	0	0	0
Carroll-Illinois	0	0	0
Cass-Illinois	0	0	0
Champaign-Illinois	10	0	0
Christian-Illinois	1	0	0
Clark-Illinois	0	0	0
Clay-Illinois	0	0	0
Clinton-Illinois	5	0	0
Coles-Illinois	0	0	0
Cook-Illinois	2239	20	0
Crawford-Illinois	0	0	0
Cumberland-Illinois	1	0	0
De Kalb-Illinois	0	0	0
De Witt-Illinois	0	0	0
Douglas-Illinois	1	0	0
Du Page-Illinois	0	0	0
Edgar-Illinois	0	0	0
Edwards-Illinois	0	0	0
Effingham-Illinois	0	0	0
Fayette-Illinois	0	0	0
Ford-Illinois	0	0	0
Franklin-Illinois	1	0	0
Fulton-Illinois	0	0	0
Gallatin-Illinois	0	0	0
Greene-Illinois	0	0	0
Grundy-Illinois	2	0	0
Hamilton-Illinois	0	0	0
Hancock-Illinois	0	0	0
Hardin-Illinois	0	0	0
Henderson-Illinois	0	0	0
Henry-Illinois	1	0	0
Iroquois-Illinois	1	0	0
Jackson-Illinois	1	0	0
Jasper-Illinois	0	0	0
Jefferson-Illinois	0	0	0
Jersey-Illinois	0	0	0
Jo Daviess-Illinois	1	0	0
Johnson-Illinois	0	0	0
Kane-Illinois	75	2	0
Kankakee-Illinois	17	0	0
Kendall-Illinois	8	0	0
Knox-Illinois	0	0	0
Lake-Illinois	230	0	0
La Salle-Illinois	0	0	0
Lawrence-Illinois	0	0	0
Lee-Illinois	0	0	0
Livingston-Illinois	2	0	0
Logan-Illinois	0	0	0
McDonough-Illinois	0	0	0
McHenry-Illinois	45	1	0
McLean-Illinois	10	1	0
Macon-Illinois	0	0	0
Macoupin-Illinois	0	0	0
Madison-Illinois	8	0	0
Marion-Illinois	0	0	0
Marshall-Illinois	1	0	0
Mason-Illinois	0	0	0
